Subject	ActivitiesLabel	tBodyAcc.mean...X	tBodyAcc.mean...Y	tBodyAcc.mean...Z	tGravityAcc.mean...X	tGravityAcc.mean...Y	tGravityAcc.mean...Z	tBodyAccJerk.mean...X	tBodyAccJerk.mean...Y	tBodyAccJerk.mean...Z	tBodyGyro.mean...X	tBodyGyro.mean...Y	tBodyGyro.mean...Z	tBodyGyroJerk.mean...X	tBodyGyroJerk.mean...Y	tBodyGyroJerk.mean...Z	tBodyAccMag.mean..	tGravityAccMag.mean..	tBodyAccJerkMag.mean..	tBodyGyroMag.mean..	tBodyGyroJerkMag.mean..	fBodyAcc.mean...X	fBodyAcc.mean...Y	fBodyAcc.mean...Z	fBodyAcc.meanFreq...X	fBodyAcc.meanFreq...Y	fBodyAcc.meanFreq...Z	fBodyAccJerk.mean...X	fBodyAccJerk.mean...Y	fBodyAccJerk.mean...Z	fBodyAccJerk.meanFreq...X	fBodyAccJerk.meanFreq...Y	fBodyAccJerk.meanFreq...Z	fBodyGyro.mean...X	fBodyGyro.mean...Y	fBodyGyro.mean...Z	fBodyGyro.meanFreq...X	fBodyGyro.meanFreq...Y	fBodyGyro.meanFreq...Z	fBodyAccMag.mean..	fBodyAccMag.meanFreq..	fBodyBodyAccJerkMag.mean..	fBodyBodyAccJerkMag.meanFreq..	fBodyBodyGyroMag.mean..	fBodyBodyGyroMag.meanFreq..	fBodyBodyGyroJerkMag.mean..	fBodyBodyGyroJerkMag.meanFreq..	tBodyAcc.std...X	tBodyAcc.std...Y	tBodyAcc.std...Z	tGravityAcc.std...X	tGravityAcc.std...Y	tGravityAcc.std...Z	tBodyAccJerk.std...X	tBodyAccJerk.std...Y	tBodyAccJerk.std...Z	tBodyGyro.std...X	tBodyGyro.std...Y	tBodyGyro.std...Z	tBodyGyroJerk.std...X	tBodyGyroJerk.std...Y	tBodyGyroJerk.std...Z	tBodyAccMag.std..	tGravityAccMag.std..	tBodyAccJerkMag.std..	tBodyGyroMag.std..	tBodyGyroJerkMag.std..	fBodyAcc.std...X	fBodyAcc.std...Y	fBodyAcc.std...Z	fBodyAccJerk.std...X	fBodyAccJerk.std...Y	fBodyAccJerk.std...Z	fBodyGyro.std...X	fBodyGyro.std...Y	fBodyGyro.std...Z	fBodyAccMag.std..	fBodyBodyAccJerkMag.std..	fBodyBodyGyroMag.std..	fBodyBodyGyroJerkMag.std..
1	1	0.277330759	-0.017383819	-0.111148104	0.935223201	-0.282165021	-0.068102864	0.074041633	0.02827211	-0.004168406	-0.041830964	-0.069530046	0.084944817	-0.089997542	-0.039842871	-0.04613093	-0.136971177	-0.136971177	-0.141428809	-0.160979553	-0.298703679	-0.202794306	0.089712726	-0.331560118	-0.207548374	0.113093646	0.04972652	-0.170546965	-0.035225524	-0.468999225	-0.209261973	-0.386237143	-0.185530281	-0.339032197	-0.103059416	-0.25594094	0.014784499	-0.065774619	0.000773322	-0.128623451	0.190643724	-0.0571194	0.093822181	-0.199252569	0.268844368	-0.319308594	0.190663449	-0.283740259	0.114461337	-0.260027902	-0.976609643	-0.971305961	-0.947717226	-0.113615602	0.067002501	-0.502699789	-0.473535486	-0.054607769	-0.344266629	-0.207421855	-0.304468511	-0.404255453	-0.219688646	-0.219688646	-0.07447175	-0.186978365	-0.325324879	-0.31913472	0.056040007	-0.279686751	-0.133586606	0.106739857	-0.53471344	-0.516691939	-0.03350816	-0.436562227	-0.398032587	-0.103492403	-0.321017954	-0.381601912
1	2	0.25546169	-0.023953149	-0.097302002	0.893351098	-0.362153364	-0.07540294	0.10137273	0.019486308	-0.045562545	0.05054938	-0.166170015	0.058359546	-0.122232768	-0.042148588	-0.040712553	-0.129927631	-0.129927631	-0.466503446	-0.12673559	-0.594882865	-0.404321784	-0.190976721	-0.433349702	-0.418735	-0.160697214	-0.520114794	-0.479875246	-0.413444588	-0.685474354	-0.377023128	-0.509495532	-0.551104284	-0.492611668	-0.319474609	-0.453597213	-0.187450248	-0.473574787	-0.133373904	-0.352395945	-0.09774335	-0.442652162	0.085352409	-0.325961457	-0.219303376	-0.634665082	0.114277342	-0.354708025	-0.002320265	-0.019479239	-0.956367028	-0.952849233	-0.91237941	-0.446843888	-0.378274426	-0.706593531	-0.544871105	0.004105184	-0.507168675	-0.614786508	-0.601696656	-0.606332002	-0.324970929	-0.324970929	-0.478991622	-0.148619318	-0.648553044	-0.337428189	0.021769511	0.085956554	-0.461907026	-0.381777065	-0.726040201	-0.565892491	0.151538906	-0.57170784	-0.416260102	-0.533059854	-0.182985518	-0.693930522
1	3	0.28918832	-0.009918505	-0.107566191	0.931874419	-0.266610339	-0.062119959	0.054155316	0.029650449	-0.010971973	-0.03507819	-0.090937129	0.090085014	-0.073959204	-0.043990278	-0.027046106	0.027188291	0.027188291	-0.089447481	-0.075741254	-0.295463843	0.038229183	0.001549908	-0.225574472	-0.307395199	0.063220084	0.294322701	-0.027663868	-0.128667158	-0.288334736	-0.253164345	-0.337589701	0.009372239	-0.352449631	-0.055702252	-0.031869427	-0.100453729	0.082551149	-0.075676207	0.096584534	0.119187143	0.026218495	0.076491547	-0.185720286	0.349613895	-0.281963359	0.190000706	0.030035338	-0.031935943	-0.230434213	-0.950559812	-0.937018659	-0.895939695	-0.012283861	-0.101601391	-0.345735032	-0.458030543	-0.126349195	-0.124702454	-0.487027342	-0.238824828	-0.26876148	0.019884351	0.019884351	-0.02578772	-0.225724368	-0.306510646	0.024330839	-0.11296374	-0.297927895	-0.086327897	-0.134580009	-0.401721464	-0.495422486	-0.181414729	-0.238443565	-0.186530301	-0.104052261	-0.39835039	-0.391919877
1	4	0.261237565	-0.001308288	-0.104544182	0.831509933	0.204411593	0.332043703	0.07748252	-0.000619103	-0.003367792	-0.045350057	-0.091924155	0.062931381	-0.093679381	-0.040211812	-0.046702627	-0.948536786	-0.948536786	-0.987364196	-0.93089249	-0.991976341	-0.979641239	-0.94408455	-0.959184889	-0.049513598	0.075946077	0.23882987	-0.986597023	-0.981579467	-0.986053092	0.256610824	0.047543784	0.092392003	-0.976161464	-0.975838585	-0.951315544	0.189153021	0.063127067	-0.029783921	-0.947782923	0.236655012	-0.985262127	0.351852202	-0.958435589	-0.000262187	-0.989797547	0.184775928	-0.977229008	-0.922618642	-0.939586291	-0.968457146	-0.935517056	-0.949040933	-0.986430711	-0.981371965	-0.987910804	-0.977211283	-0.966473895	-0.941425921	-0.991731592	-0.989518069	-0.987935806	-0.927078419	-0.927078419	-0.984120024	-0.93453184	-0.988308729	-0.976412313	-0.917275006	-0.934469558	-0.987492994	-0.98251391	-0.988339185	-0.977904227	-0.962345043	-0.943917841	-0.928444802	-0.981606177	-0.932198375	-0.987049617
1	5	0.278917629	-0.01613759	-0.110601818	0.942952	-0.272983832	0.013490582	0.075376654	0.007975731	-0.00368525	-0.023987735	-0.059397221	0.074800751	-0.099609213	-0.044062788	-0.048950547	-0.984278207	-0.984278207	-0.992367791	-0.976493793	-0.994966791	-0.995249933	-0.977070848	-0.985297099	0.086515362	0.117478949	0.244858586	-0.994630797	-0.985418705	-0.990752166	0.31418294	0.039161895	0.138581479	-0.986386786	-0.988984456	-0.980773123	-0.120293021	-0.044719198	0.100607635	-0.985356361	0.284555291	-0.992542478	0.422220102	-0.984617623	-0.028605773	-0.994815377	0.334498734	-0.995759902	-0.973190056	-0.979775877	-0.993762985	-0.981225958	-0.976324064	-0.994604542	-0.985648732	-0.992251177	-0.987191947	-0.98773444	-0.980645627	-0.992945107	-0.995137917	-0.992108467	-0.981942929	-0.981942929	-0.993096209	-0.978690029	-0.994733239	-0.996028345	-0.972293102	-0.97793726	-0.995073759	-0.987018227	-0.992349818	-0.987497129	-0.987107728	-0.98234533	-0.982313805	-0.992536003	-0.978466072	-0.994671123
1	6	0.221598244	-0.040513953	-0.113203554	-0.248881798	0.705549773	0.44581772	0.081086534	0.003838204	0.010834236	-0.016553094	-0.064486124	0.148689436	-0.107270949	-0.041517287	-0.074050121	-0.841929153	-0.841929153	-0.954396265	-0.874759548	-0.96346103	-0.939099052	-0.867065205	-0.882666876	-0.158792671	0.097534842	0.089437655	-0.957073884	-0.92246261	-0.948060904	0.132419092	0.024513619	0.024387945	-0.850249175	-0.952191495	-0.909302721	-0.003546796	-0.091529131	0.010458126	-0.861767648	0.086408563	-0.933300361	0.266391154	-0.862190185	-0.139775013	-0.942366947	0.176485907	-0.928056469	-0.836827406	-0.826061402	-0.896830018	-0.907720007	-0.85236629	-0.958482112	-0.924149274	-0.954855111	-0.873543868	-0.95109044	-0.908284663	-0.918608521	-0.967907244	-0.95779016	-0.795144864	-0.795144864	-0.928245628	-0.81901017	-0.935840983	-0.924437435	-0.833625556	-0.812891559	-0.964160709	-0.93221787	-0.960586987	-0.882296451	-0.951232049	-0.916582508	-0.79830094	-0.921803976	-0.82431944	-0.932660668
2	1	0.276426586	-0.01859492	-0.105500358	0.913017333	-0.34660709	0.084727087	0.06180807	0.018249268	0.007895337	-0.053025816	-0.048238232	0.082833663	-0.081883343	-0.053829945	-0.051493916	-0.290407594	-0.290407594	-0.281424154	-0.446549093	-0.54791195	-0.346048161	-0.02190481	-0.45380637	-0.14579549	0.198586467	0.068899521	-0.304615323	-0.078764084	-0.55495671	-0.072710158	-0.263574018	-0.254846439	-0.429713536	-0.554772112	-0.396659907	0.00727968	-0.042700932	0.139752115	-0.324289428	0.393206208	-0.169064353	0.207500927	-0.530704815	0.305283825	-0.583249293	0.126344614	-0.423642838	-0.078091253	-0.425257525	-0.972693201	-0.97211688	-0.972072848	-0.277530463	-0.016602236	-0.586090419	-0.561550256	-0.538453668	-0.481085535	-0.389549832	-0.634140436	-0.435492677	-0.422544169	-0.422544169	-0.164150985	-0.553019916	-0.557798151	-0.457651384	-0.169219686	-0.455222146	-0.314313063	-0.015332952	-0.615898188	-0.604053019	-0.533046953	-0.559856635	-0.577105212	-0.164091969	-0.65179284	-0.558104555
2	2	0.24716479	-0.021412113	-0.1525139	0.790717419	-0.41621489	-0.195888239	0.074450784	-0.009709855	0.019481439	-0.057691263	-0.03208831	0.068837402	-0.0828858	-0.042405371	-0.044515748	-0.10732268	-0.10732268	-0.321268911	-0.219713473	-0.572816439	-0.266720933	0.009924459	-0.281001986	-0.281748011	-0.061889446	-0.236589092	-0.25863944	-0.187842132	-0.522728063	-0.049114292	-0.287688885	-0.374218485	-0.331643577	-0.488086124	-0.248601122	-0.115324434	-0.130357851	-0.077341812	-0.145318539	0.107680395	-0.189511137	-0.011916823	-0.450612185	-0.022752769	-0.600798496	0.046743399	-0.304376406	0.10802728	-0.112121021	-0.93440774	-0.923767454	-0.878004057	-0.276121886	-0.185648954	-0.573746353	-0.439253059	-0.466298337	-0.163995792	-0.464854363	-0.645491338	-0.467595961	-0.205977045	-0.205977045	-0.217389395	-0.377532168	-0.597291719	-0.320582414	0.084880279	-0.094544976	-0.365415441	-0.243554147	-0.625090981	-0.476358846	-0.459758489	-0.218072471	-0.366728244	-0.260423839	-0.438620402	-0.621820203
2	3	0.277615348	-0.022661416	-0.116812942	0.861831346	-0.325780101	-0.043889016	0.110040616	-0.003279591	-0.020935168	-0.115947353	-0.004823292	0.097173809	-0.05810385	-0.042147026	-0.071022982	0.08995112	0.08995112	0.005655163	-0.162188587	-0.410872671	0.11284116	0.278345042	-0.131290772	-0.27371161	0.011930961	0.090367855	0.138120681	0.096209161	-0.271498721	-0.14389815	-0.357514502	-0.234703932	-0.14577597	-0.361913824	-0.087494474	-0.037529802	0.077089456	0.136774958	0.293424827	0.09383213	0.22224741	0.018835511	-0.320838544	0.103971242	-0.380175306	-0.051247964	0.046366681	0.262881789	-0.102837908	-0.94036176	-0.940068526	-0.931438313	0.147249143	0.126828015	-0.340122023	-0.32078923	-0.415739145	-0.279418388	-0.243940593	-0.469396701	-0.218266319	0.215586335	0.215586335	0.229617185	-0.274844111	-0.343187875	0.01610462	0.171973973	-0.162032894	0.049959062	0.080833349	-0.408227423	-0.379436674	-0.458732747	-0.422987665	-0.021478788	0.227480733	-0.372576755	-0.343698985
2	4	0.277087352	-0.015687994	-0.109218272	0.940477273	-0.105630024	0.198726769	0.072256439	0.011695451	0.007605469	-0.045470662	-0.05992868	0.041227746	-0.093632841	-0.041560203	-0.043585097	-0.967893624	-0.967893624	-0.986774713	-0.946035087	-0.991081494	-0.985803841	-0.957343498	-0.970162173	0.085192821	0.150193956	0.096064676	-0.987848794	-0.977139703	-0.98512905	0.305546818	0.026244865	0.092903063	-0.98262139	-0.982100924	-0.959814822	0.130523121	-0.192142738	0.040947235	-0.961273748	0.130934203	-0.983874699	0.280062424	-0.971840596	-0.106358909	-0.989861951	0.194722149	-0.98682228	-0.950704499	-0.959828172	-0.979988761	-0.956750273	-0.954415873	-0.988055854	-0.977983955	-0.987518212	-0.985742028	-0.978919527	-0.959803709	-0.989709023	-0.990889615	-0.985542326	-0.953081444	-0.953081444	-0.984475868	-0.961313624	-0.98959492	-0.98736209	-0.950073754	-0.956862864	-0.989459107	-0.980804228	-0.988570804	-0.986808502	-0.977356189	-0.96352266	-0.955575602	-0.984124186	-0.961385745	-0.989632909
