PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
5.705550608,-3.525847004,3.685276796,-0.968474572,-0.322219393,-1.990906216,0.793875126,1.041241499,-1.369039261,0.159518252,0.072381608,0.381608649,-0.355810346,-0.707713705,0.871925685,1.243682356,1.162435392,-1.070067276,-0.841947112,0.356283762,0.492459419,-0.595040832,0.044649872,0.043925896,0.358625356,-0.818160129,-0.578999385,-0.220015617,-0.528605733,0.086620788,0.135070606,-0.156368654,0.249668101,0.083728281,-0.241811243,0.348089913,-0.107110404
-3.39312052,1.441987896,2.788683856,-0.811555936,-1.31443715,-0.528571257,0.479150671,0.002881504,-0.744682075,1.358123662,0.1629503,0.031373774,-0.273264048,0.113757279,0.46159691,0.91403322,-0.324126258,-0.01105102,-0.489648275,0.48578849,0.220838768,-0.59966453,-0.306286623,-0.089008734,0.698830366,0.072935544,0.28317062,-0.348847406,0.433516926,0.7407189,0.216283955,-0.268087725,0.011801644,-0.287149354,-0.547423158,-0.420536008,-0.177308851
-3.267105989,2.362320595,1.717196466,0.100676584,-0.64165701,0.017726399,-2.241014521,-0.332025756,1.193743996,0.043831257,0.127288434,0.142289619,-0.408438493,-0.265943019,-0.251936104,0.42236992,0.139054351,-0.256857765,-0.02264074,0.113361636,0.02144265,-0.75914654,0.599705625,-0.833595888,-0.806823055,-0.007691629,0.633528649,-0.162566652,0.923730988,0.594895663,0.414141314,0.129376559,-0.227055556,0.104607821,0.221761167,-0.031798665,-0.61376436
3.001349586,7.928754728,0.784048388,1.173876706,2.129751701,-1.614245902,0.553057372,0.137186312,-0.143297266,0.970395898,0.480378579,-2.081180826,0.247021961,-0.705179455,-0.729801959,-1.3056135,0.134651753,0.730785968,-0.589422029,0.456591839,-0.249102759,0.51950668,-0.786529796,0.074493727,-0.833782092,0.335217211,-0.362414857,-0.217673368,0.439050196,-0.586052272,-0.28888204,0.271088962,0.076901834,0.625964036,0.081474264,-0.002420526,0.298437861
-1.253344776,-2.256994572,-1.479809348,0.050645282,4.093314059,1.01455971,1.631854315,-2.053699373,-1.324528776,-1.525403192,-0.479322368,-0.903680237,-0.142902417,-0.034348575,-0.295264044,-0.686718101,0.822162121,0.089584136,1.169999054,-0.35595999,0.364376457,-0.171965605,-0.326831955,0.256611589,0.39583165,0.337177133,-0.131136754,-0.481783447,0.80846168,0.75732657,-0.219595036,-0.228810346,-0.279091992,0.08096309,0.307653019,-0.061261854,0.193463057
-2.538706014,1.686238949,-0.148698488,4.041473003,-2.035990606,-0.905950737,-0.230435312,1.747738283,-1.077886049,-0.198014623,-1.592370709,-0.039314437,0.249438258,0.876065233,-0.388577056,-0.409620305,0.265584783,0.038884821,0.060781421,-0.132773256,-0.757491825,-0.483842259,-0.518707533,-0.655302121,0.424615027,0.129869512,0.114370198,-0.240808451,0.133993071,-0.298201309,-0.449025518,1.008038031,-0.203331502,0.71529232,0.636479903,-0.235845249,0.350332736
-0.86642723,1.450435295,-1.131526653,0.408449846,-2.800183963,-0.511524383,-1.503976898,2.143474012,-0.947326767,-2.164108265,0.528795705,0.900052684,-0.095125047,0.050399567,-0.521191276,-0.965600512,0.586005819,-0.358841094,-0.347477808,-0.717615943,-0.25637523,0.479561038,-0.03572555,-0.576709592,-1.088934469,0.176077246,-0.185730672,0.223315879,0.169116798,0.205774748,-0.056430194,-0.19999589,0.04248542,-0.1281391,0.055482572,-0.114989784,0.262153142
-1.998382435,0.301106214,-0.83746721,-0.557256574,-1.153663707,1.697558406,4.293717359,1.613243136,-1.324285883,-1.244750839,1.724923843,-0.921282469,0.498542547,1.55957404,-0.058995082,1.316469103,-0.232061167,0.188371926,-0.214771792,0.055885227,0.104232645,-0.267430314,-0.68989474,-0.296646812,-0.031867505,0.348614736,0.086776878,0.18628336,0.039901617,-0.822585349,-0.238842567,-1.041845323,-0.089478914,-0.595689403,-1.092738386,0.254618983,-0.176540678
-1.364508059,0.147200296,0.675824573,0.236504008,0.329969355,1.68709005,-0.696972143,-0.419701668,1.381936181,3.147699965,-0.472102471,-0.926611747,2.075032825,0.842325452,0.277586014,-0.321724665,-0.720010642,0.049530446,0.627834066,1.047075429,-0.639348032,1.159841425,-0.657980654,0.458228661,-0.733292508,-0.147065449,0.508879537,0.192463429,-0.144876961,-0.074870261,0.054912337,-0.054376418,0.005152523,-0.331377192,0.581453435,0.252692453,-0.183815873
4.299429765,1.209739103,-0.17748412,0.358393141,0.093273036,3.454614657,-2.369287873,-1.666530589,-1.524695816,1.595110759,-0.787041729,0.521797831,-0.820262251,-0.149533849,0.137155356,0.807074732,0.22754949,-0.422176977,0.134541175,0.676735146,1.735215002,-1.353190302,0.629569739,0.155748778,0.471451486,-0.139884889,-0.071715438,0.350184803,0.397361028,-0.675828214,-0.302806423,-0.1657348,0.330883823,0.413272251,0.206035271,-0.136588325,-0.010611179
